name,url,rating,type,grade,pitches,length,latitude,longitude,votes,state,gorge,area,crag,subcrag,yds,protection
Lord of the Jungle,https://www.mountainproject.com/route/106866831/lord-of-the-jungle,3.0,Trad,5.12a,1,40.0,38.10049,-81.09595999999998,4,West Virginia,The New River Gorge,New River Gorge Proper,Bubba City,Sandstonia,12.0,
Mike Tyson's Face,https://www.mountainproject.com/route/107034604/mike-tysons-face,2.7,Sport,5.12a,1,65.0,38.10049,-81.09595999999998,18,West Virginia,The New River Gorge,New River Gorge Proper,Bubba City,Sandstonia,12.0,
One Repetition Max,https://www.mountainproject.com/route/107507863/one-repetition-max,2.0,Sport,5.12b,1,40.0,38.10049,-81.09595999999998,1,West Virginia,The New River Gorge,New River Gorge Proper,Bubba City,Sandstonia,12.0,
Pure Power,https://www.mountainproject.com/route/106866818/pure-power,1.3,Sport,5.12c/d,1,50.0,38.10049,-81.09595999999998,6,West Virginia,The New River Gorge,New River Gorge Proper,Bubba City,Sandstonia,12.0,
Fired for Sandbagging,https://www.mountainproject.com/route/106073353/fired-for-sandbagging,3.1,Sport,5.12a,1,70.0,38.09087,-81.08835,16,West Virginia,The New River Gorge,New River Gorge Proper,Bubba City,Bubba Buttress,12.0,
Eight Ball in the Side Pocket,https://www.mountainproject.com/route/109525174/eight-ball-in-the-side-pocket,3.0,Sport,5.12a,1,70.0,38.09087,-81.08835,1,West Virginia,The New River Gorge,New River Gorge Proper,Bubba City,Bubba Buttress,12.0,
Logotherapy,https://www.mountainproject.com/route/111210265/logotherapy,2.0,Sport,5.13a,1,60.0,38.09087,-81.08835,1,West Virginia,The New River Gorge,New River Gorge Proper,Bubba City,Bubba Buttress,13.0,
The Cutting Edge,https://www.mountainproject.com/route/111748148/the-cutting-edge,3.0,Sport,5.12b,1,80.0,38.09091,-81.08922,3,West Virginia,The New River Gorge,New River Gorge Proper,Bubba City,Central Bubba,12.0,
Bubbacide,https://www.mountainproject.com/route/111328686/bubbacide,3.0,Sport,5.12b,1,60.0,38.09091,-81.08922,2,West Virginia,The New River Gorge,New River Gorge Proper,Bubba City,Central Bubba,12.0,
Mind's Eye,https://www.mountainproject.com/route/110216023/minds-eye,1.0,Sport,5.13a,1,40.0,38.09091,-81.08922,1,West Virginia,The New River Gorge,New River Gorge Proper,Bubba City,Central Bubba,13.0,
Diamond Life,https://www.mountainproject.com/route/110215885/diamond-life,3.3,Sport,5.13a,1,60.0,38.09091,-81.08922,3,West Virginia,The New River Gorge,New River Gorge Proper,Bubba City,Central Bubba,13.0,
Powerful Opposition,https://www.mountainproject.com/route/114291270/powerful-opposition,2.0,Sport,5.12a,1,,38.09182,-81.09286,1,West Virginia,The New River Gorge,New River Gorge Proper,Bubba City,Ames Wall,12.0,
Likmé,https://www.mountainproject.com/route/112222094/likme,2.0,Sport,5.12a,1,50.0,38.09182,-81.09286,1,West Virginia,The New River Gorge,New River Gorge Proper,Bubba City,Ames Wall,12.0,
Michelin Man Original Finish,https://www.mountainproject.com/route/108850496/michelin-man-original-finish,4.0,Sport,5.12a/b,1,70.0,38.09182,-81.09286,6,West Virginia,The New River Gorge,New River Gorge Proper,Bubba City,Ames Wall,12.0,
Keine Kraft,https://www.mountainproject.com/route/107791193/keine-kraft,3.0,Sport,5.12b,1,50.0,38.09182,-81.09286,1,West Virginia,The New River Gorge,New River Gorge Proper,Bubba City,Ames Wall,12.0,
A Pocket Leaps Now,https://www.mountainproject.com/route/110216046/a-pocket-leaps-now,1.0,Sport,5.13a,1,50.0,38.09182,-81.09286,1,West Virginia,The New River Gorge,New River Gorge Proper,Bubba City,Ames Wall,13.0,
Coughing up Fleming,https://www.mountainproject.com/route/106866794/coughing-up-fleming,2.0,Sport,5.12a,1,40.0,38.09307,-81.09555,2,West Virginia,The New River Gorge,New River Gorge Proper,Bubba City,Head Wall,12.0,
Feng Shui,https://www.mountainproject.com/route/107612872/feng-shui,3.5,Sport,5.12a,1,55.0,38.09307,-81.09555,6,West Virginia,The New River Gorge,New River Gorge Proper,Bubba City,Head Wall,12.0,
The Great White Shark,https://www.mountainproject.com/route/110216034/the-great-white-shark,2.0,Sport,5.12c,1,60.0,38.09307,-81.09555,1,West Virginia,The New River Gorge,New River Gorge Proper,Bubba City,Head Wall,12.0,
Dreams of White Horsts,https://www.mountainproject.com/route/110216056/dreams-of-white-horsts,3.0,Sport,5.12c/d,1,60.0,38.09307,-81.09555,1,West Virginia,The New River Gorge,New River Gorge Proper,Bubba City,Head Wall,12.0,
Masterpiece Theatre,https://www.mountainproject.com/route/107789094/masterpiece-theatre,3.6,Sport,5.12d,1,70.0,38.09307,-81.09555,5,West Virginia,The New River Gorge,New River Gorge Proper,Bubba City,Head Wall,12.0,
More Studly Than Puddly,https://www.mountainproject.com/route/112865472/more-studly-than-puddly,2.0,Sport,5.12a,1,40.0,38.09088,-81.0903,2,West Virginia,The New River Gorge,New River Gorge Proper,Bubba City,Rainbow Ledge Area,12.0,
Arapiles Please,https://www.mountainproject.com/route/110650163/arapiles-please,3.0,Sport,5.12c,1,60.0,38.09088,-81.0903,1,West Virginia,The New River Gorge,New River Gorge Proper,Bubba City,Rainbow Ledge Area,12.0,
"Vivre l""Amour",https://www.mountainproject.com/route/112865496/vivre-lamour,1.0,Sport,5.12a,1,60.0,38.09276,-81.09456999999998,1,West Virginia,The New River Gorge,New River Gorge Proper,Bubba City,French Wall,12.0,
King of Carrot Flowers,https://www.mountainproject.com/route/112859108/king-of-carrot-flowers,2.0,Trad,5.12a/b R,1,75.0,38.09276,-81.09456999999998,1,West Virginia,The New River Gorge,New River Gorge Proper,Bubba City,French Wall,12.0,R
L'Amour des Toits,https://www.mountainproject.com/route/108850688/lamour-des-toits,3.0,Sport,5.12b,1,60.0,38.09276,-81.09456999999998,2,West Virginia,The New River Gorge,New River Gorge Proper,Bubba City,French Wall,12.0,
Is it Safe?,https://www.mountainproject.com/route/112481027/is-it-safe,2.0,Sport,5.12a,1,80.0,38.05598,-81.06313,4,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,A) Fern Point,12.0,
The Magnificent Pudcasso,https://www.mountainproject.com/route/107361227/the-magnificent-pudcasso,3.5,Sport,5.12a,1,90.0,38.05598,-81.06313,11,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,A) Fern Point,12.0,
Dead Painters' Society,https://www.mountainproject.com/route/106709472/dead-painters-society,3.5,Sport,5.12a,1,80.0,38.05598,-81.06313,6,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,A) Fern Point,12.0,
Positron,https://www.mountainproject.com/route/107875571/positron,2.0,Sport,5.12a,1,60.0,38.05598,-81.06313,1,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,A) Fern Point,12.0,
Dangerous Liasons,https://www.mountainproject.com/route/112481317/dangerous-liasons,2.0,Sport,5.12a/b,1,80.0,38.05598,-81.06313,2,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,A) Fern Point,12.0,
Le Futuriste,https://www.mountainproject.com/route/108418356/le-futuriste,3.1,Sport,5.12b,1,80.0,38.05598,-81.06313,8,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,A) Fern Point,12.0,
De-Funked,https://www.mountainproject.com/route/112481096/de-funked,2.0,Sport,5.12b,1,80.0,38.05598,-81.06313,2,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,A) Fern Point,12.0,
The Exqueetion,https://www.mountainproject.com/route/112481397/the-exqueetion,2.0,Sport,5.12b,1,80.0,38.05598,-81.06313,2,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,A) Fern Point,12.0,
Fine Motor Control,https://www.mountainproject.com/route/106237414/fine-motor-control,2.3,Sport,5.12a,1,80.0,38.05317,-81.05956,15,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,G) Diamond Point,12.0,
"Gift of Grace, The",https://www.mountainproject.com/route/107318908/gift-of-grace-the,3.7,Sport,5.12b,1,80.0,38.05317,-81.05956,22,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,G) Diamond Point,12.0,
The Weatherman's Thumb,https://www.mountainproject.com/route/107384924/the-weathermans-thumb,3.0,Sport,5.12d,1,90.0,38.05317,-81.05956,7,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,G) Diamond Point,12.0,
"Access ""Fun""",https://www.mountainproject.com/route/112780656/access-fun,0.0,Sport,5.12a,1,60.0,38.05615,-81.04359000000002,1,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,R) The Cirque,12.0,
Hourglass,https://www.mountainproject.com/route/107389351/hourglass,2.7,Sport,5.12a,1,70.0,38.05615,-81.04359000000002,15,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,R) The Cirque,12.0,
Graffiti,https://www.mountainproject.com/route/106480252/graffiti,2.4,Sport,5.12a/b,1,60.0,38.05615,-81.04359000000002,39,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,R) The Cirque,12.0,
Live and Let Live,https://www.mountainproject.com/route/107586058/live-and-let-live,2.8,Sport,5.12b,1,90.0,38.05615,-81.04359000000002,6,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,R) The Cirque,12.0,
Finders Keepers,https://www.mountainproject.com/route/107062570/finders-keepers,3.5,Sport,5.12c,1,80.0,38.05615,-81.04359000000002,47,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,R) The Cirque,12.0,
Sloth,https://www.mountainproject.com/route/106508083/sloth,3.4,Sport,5.12c,1,70.0,38.05615,-81.04359000000002,28,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,R) The Cirque,12.0,
Hasta La Vista,https://www.mountainproject.com/route/107312800/hasta-la-vista,2.7,Sport,5.12c,1,80.0,38.05615,-81.04359000000002,6,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,R) The Cirque,12.0,
Satanic Traverses,https://www.mountainproject.com/route/107337946/satanic-traverses,2.0,Sport,5.12c,1,160.0,38.05615,-81.04359000000002,1,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,R) The Cirque,12.0,
Mr. McGoo,https://www.mountainproject.com/route/108520172/mr-mcgoo,2.0,Sport,5.12c,1,65.0,38.05615,-81.04359000000002,1,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,R) The Cirque,12.0,
Norse Code,https://www.mountainproject.com/route/107394627/norse-code,2.0,Sport,5.12d,1,50.0,38.05615,-81.04359000000002,2,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,R) The Cirque,12.0,
Superstition,https://www.mountainproject.com/route/106796650/superstition,2.8,Sport,5.12d,2,100.0,38.05615,-81.04359000000002,6,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,R) The Cirque,12.0,
Blacklisted,https://www.mountainproject.com/route/115424243/blacklisted,2.0,Sport,5.12d,1,100.0,38.05615,-81.04359000000002,1,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,R) The Cirque,12.0,
Skylore Engine,https://www.mountainproject.com/route/106961501/skylore-engine,3.9,Sport,5.13a,1,95.0,38.05615,-81.04359000000002,16,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,R) The Cirque,13.0,
Xanth,https://www.mountainproject.com/route/114085146/xanth,2.0,Sport,5.13b,1,,38.05615,-81.04359000000002,1,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,R) The Cirque,13.0,
The Canadian (variation),https://www.mountainproject.com/route/110622748/the-canadian-variation,2.0,Sport,5.13b,1,60.0,38.05615,-81.04359000000002,1,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,R) The Cirque,13.0,
Baby Trebuchet,https://www.mountainproject.com/route/116249027/baby-trebuchet,4.0,Sport,5.13b,1,70.0,38.05615,-81.04359000000002,1,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,R) The Cirque,13.0,
Ride The Lightning,https://www.mountainproject.com/route/105971958/ride-the-lightning,3.8,Sport,5.13b/c,1,90.0,38.05615,-81.04359000000002,5,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,R) The Cirque,13.0,
Freedom Tree,https://www.mountainproject.com/route/107805988/freedom-tree,4.0,Sport,5.13d,1,110.0,38.05615,-81.04359000000002,2,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,R) The Cirque,13.0,
Lord Voldemort,https://www.mountainproject.com/route/112889153/lord-voldemort,4.0,Sport,5.14a,1,100.0,38.05615,-81.04359000000002,1,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,R) The Cirque,14.0,
The Crouch,https://www.mountainproject.com/route/111352931/the-crouch,4.0,Sport,5.14a,1,,38.05615,-81.04359000000002,1,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,R) The Cirque,14.0,
Proper Soul,https://www.mountainproject.com/route/107337912/proper-soul,4.0,Sport,5.14a,1,100.0,38.05615,-81.04359000000002,10,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,R) The Cirque,14.0,
Trebuchet,https://www.mountainproject.com/route/107849145/trebuchet,4.0,Sport,5.14b,1,100.0,38.05615,-81.04359000000002,2,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,R) The Cirque,14.0,
Rhythm of Movement,https://www.mountainproject.com/route/113849250/rhythm-of-movement,2.0,Trad,5.12a,1,80.0,38.05426,-81.06106,1,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,E) Kaymoor Slabs,12.0,
A Date with Disappointment,https://www.mountainproject.com/route/109558733/a-date-with-disappointment,2.0,Sport,5.12b,1,80.0,38.05426,-81.06106,1,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,E) Kaymoor Slabs,12.0,
Pudd's Purty Dress,https://www.mountainproject.com/route/106579581/pudds-purty-dress,4.0,Sport,5.12d,1,90.0,38.05426,-81.06106,15,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,E) Kaymoor Slabs,12.0,
Villain's Course,https://www.mountainproject.com/route/111328464/villains-course,2.0,Sport,5.13b,1,80.0,38.05426,-81.06106,1,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,E) Kaymoor Slabs,13.0,
Golden Years,https://www.mountainproject.com/route/109094648/golden-years,3.0,Trad,5.12a,1,80.0,38.05685,-81.05105,1,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,O) Kline Wall,12.0,
Bubbas in Arapilies,https://www.mountainproject.com/route/109361997/bubbas-in-arapilies,4.0,Sport,5.12b,1,40.0,38.05685,-81.05105,2,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,O) Kline Wall,12.0,
The Growing Hole,https://www.mountainproject.com/route/106421441/the-growing-hole,2.6,Sport,5.12a,1,70.0,38.05577,-81.05541,11,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,L) Dr. Ruth's Big Buttress,12.0,
Titan's Dice,https://www.mountainproject.com/route/106960498/titans-dice,4.0,Sport,5.13a,1,70.0,38.05577,-81.05541,2,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,L) Dr. Ruth's Big Buttress,13.0,
Topiary,https://www.mountainproject.com/route/115968799/topiary,2.0,Sport,5.12b,1,60.0,38.05653,-81.04584,1,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,Q) The Mungolian Wall,12.0,
Idol Point Arete,https://www.mountainproject.com/route/106434129/idol-point-arete,3.3,Sport,5.12a,1,80.0,38.05435,-81.06164,19,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,D) Idol Point,12.0,
Erotica,https://www.mountainproject.com/route/106961445/erotica,3.6,Sport,5.12a,1,90.0,38.05596,-81.05393000000002,14,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,M) Fantasy Area,12.0,
Fantasy Face,https://www.mountainproject.com/route/106259910/fantasy-face,2.0,Sport,5.12a,1,70.0,38.05596,-81.05393000000002,12,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,M) Fantasy Area,12.0,
Virgin Thing,https://www.mountainproject.com/route/108267992/virgin-thing,2.3,Sport,5.12a,1,90.0,38.05596,-81.05393000000002,3,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,M) Fantasy Area,12.0,
Jet Cap,https://www.mountainproject.com/route/113217246/jet-cap,3.0,Sport,5.12a,1,70.0,38.05596,-81.05393000000002,1,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,M) Fantasy Area,12.0,
Blackhappy,https://www.mountainproject.com/route/106418976/blackhappy,3.9,Sport,5.12b,1,90.0,38.05596,-81.05393000000002,35,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,M) Fantasy Area,12.0,
Tattoo,https://www.mountainproject.com/route/105970475/tattoo,3.2,Sport,5.12a,1,75.0,38.05632,-81.05225,22,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,N) The Undeserved Area,12.0,
Briskett Back,https://www.mountainproject.com/route/113113616/briskett-back,3.5,Trad,5.12b PG13,1,80.0,38.05632,-81.05225,2,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,N) The Undeserved Area,12.0,PG13
Wad Cutter,https://www.mountainproject.com/route/109455268/wad-cutter,2.0,Sport,5.12b,1,60.0,38.05632,-81.05225,2,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,N) The Undeserved Area,12.0,
Bullet the New Sky,https://www.mountainproject.com/route/106421298/bullet-the-new-sky,3.8,Sport,5.12a/b,1,80.0,38.05474,-81.05704,76,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,J) Snake Buttress,12.0,
New World Order,https://www.mountainproject.com/route/106421307/new-world-order,3.8,Sport,5.12a/b,1,80.0,38.05474,-81.05704,62,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,J) Snake Buttress,12.0,
Mississippi Burning,https://www.mountainproject.com/route/106567527/mississippi-burning,2.9,Sport,5.12b,1,70.0,38.05474,-81.05704,13,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,J) Snake Buttress,12.0,
Vulcan Block,https://www.mountainproject.com/route/114034126/vulcan-block,3.5,Sport,5.12c A0,1,90.0,38.05474,-81.05704,4,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,J) Snake Buttress,12.0,
Bloodshot,https://www.mountainproject.com/route/114295349/bloodshot,3.0,Sport,5.13a,1,80.0,38.05474,-81.05704,1,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,J) Snake Buttress,13.0,
Dial 911,https://www.mountainproject.com/route/105970498/dial-911,3.9,Sport,5.13a,1,80.0,38.05474,-81.05704,16,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,J) Snake Buttress,13.0,
Silent but Deadly,https://www.mountainproject.com/route/108413519/silent-but-deadly,3.0,Sport,5.13a,1,90.0,38.05474,-81.05704,2,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,J) Snake Buttress,13.0,
Black Rider (aka Pocket Route),https://www.mountainproject.com/route/107384950/black-rider-aka-pocket-route,3.9,Sport,5.13a,1,90.0,38.05474,-81.05704,14,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,J) Snake Buttress,13.0,
Dissonance,https://www.mountainproject.com/route/107826096/dissonance,3.6,Sport,5.13a,1,90.0,38.05474,-81.05704,12,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,J) Snake Buttress,13.0,
The Racist,https://www.mountainproject.com/route/106001169/the-racist,4.0,Sport,5.13b,1,90.0,38.05474,-81.05704,5,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,J) Snake Buttress,13.0,
The Rabbit Almost Died,https://www.mountainproject.com/route/108319667/the-rabbit-almost-died,3.5,Trad,5.12a,1,90.0,38.05426,-81.05828000000002,4,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,I) Honeymooner's Area,12.0,
Jesus and Tequila,https://www.mountainproject.com/route/106396709/jesus-and-tequila,3.9,Sport,5.12b,1,90.0,38.05426,-81.05828000000002,32,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,I) Honeymooner's Area,12.0,
Rainy Day Route,https://www.mountainproject.com/route/111093558/rainy-day-route,2.0,Sport,5.12b,1,60.0,38.05426,-81.05828000000002,2,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,I) Honeymooner's Area,12.0,
Sacrilege,https://www.mountainproject.com/route/107257212/sacrilege,3.3,Sport,5.12b,1,90.0,38.05426,-81.05828000000002,18,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,I) Honeymooner's Area,12.0,
Harlequin,https://www.mountainproject.com/route/108131218/harlequin,3.4,Sport,5.12b,1,90.0,38.05426,-81.05828000000002,18,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,I) Honeymooner's Area,12.0,
Dead Ráibéad,https://www.mountainproject.com/route/109535180/dead-raibead,3.0,Trad,5.12+ PG13,1,90.0,38.05426,-81.05828000000002,2,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,I) Honeymooner's Area,12.0,PG13
Libertine,https://www.mountainproject.com/route/107883015/libertine,3.2,Sport,5.12d,1,70.0,38.05426,-81.05828000000002,5,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,I) Honeymooner's Area,12.0,
Oblivion,https://www.mountainproject.com/route/115441954/oblivion,3.0,Sport,5.12d,1,80.0,38.05426,-81.05828000000002,2,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,I) Honeymooner's Area,12.0,
Color Blind,https://www.mountainproject.com/route/108889563/color-blind,2.0,Trad,5.13a R,1,90.0,38.05426,-81.05828000000002,2,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,I) Honeymooner's Area,13.0,R
Quinsana Plus,https://www.mountainproject.com/route/106936801/quinsana-plus,3.9,Sport,5.13a,1,80.0,38.05426,-81.05828000000002,16,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,I) Honeymooner's Area,13.0,
Get Thee Behind Me Satan,https://www.mountainproject.com/route/112292135/get-thee-behind-me-satan,3.0,Sport,5.13b,1,,38.05426,-81.05828000000002,1,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,I) Honeymooner's Area,13.0,
Satanic Verses,https://www.mountainproject.com/route/107359425/satanic-verses,3.7,Sport,5.13c,1,100.0,38.05426,-81.05828000000002,3,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,I) Honeymooner's Area,13.0,
Baby Rage,https://www.mountainproject.com/route/107551020/baby-rage,2.2,Sport,5.12a,1,40.0,38.05651,-81.04878000000002,5,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,P) Jacob's Ladder Area,12.0,
Second Amendment,https://www.mountainproject.com/route/109482039/second-amendment,2.0,Trad,5.12b PG13,1,80.0,38.05651,-81.04878000000002,1,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,P) Jacob's Ladder Area,12.0,PG13
Shotgun,https://www.mountainproject.com/route/109447029/shotgun,3.0,Sport,5.12b,1,40.0,38.05651,-81.04878000000002,1,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,P) Jacob's Ladder Area,12.0,
Just Forget It,https://www.mountainproject.com/route/112875701/just-forget-it,3.0,Sport,5.12b,1,40.0,38.05651,-81.04878000000002,1,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,P) Jacob's Ladder Area,12.0,
Fat Back,https://www.mountainproject.com/route/108776416/fat-back,4.0,Sport,5.12c,1,80.0,38.05651,-81.04878000000002,1,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,P) Jacob's Ladder Area,12.0,
The Mechanical Bull,https://www.mountainproject.com/route/107340109/the-mechanical-bull,4.0,Sport,5.13a,1,80.0,38.05651,-81.04878000000002,1,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,P) Jacob's Ladder Area,13.0,
Freaky Stylee,https://www.mountainproject.com/route/106293356/freaky-stylee,3.8,Sport,5.12a,1,70.0,38.05569000000001,-81.06276,84,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,B) Party Buttress,12.0,
The Plug,https://www.mountainproject.com/route/111066226/the-plug,2.0,Sport,5.12a,1,40.0,38.05569000000001,-81.06276,5,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,B) Party Buttress,12.0,
Pocket Pussy,https://www.mountainproject.com/route/106293374/pocket-pussy,2.5,Sport,5.12a,1,40.0,38.05569000000001,-81.06276,13,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,B) Party Buttress,12.0,
Crimes of Flashin',https://www.mountainproject.com/route/109640074/crimes-of-flashin,3.0,Sport,5.12a,1,50.0,38.05569000000001,-81.06276,2,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,B) Party Buttress,12.0,
Through the Never,https://www.mountainproject.com/route/112415840/through-the-never,3.0,Sport,5.12b,1,80.0,38.05569000000001,-81.06276,3,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,B) Party Buttress,12.0,
Modern Primitive,https://www.mountainproject.com/route/106198247/modern-primitive,2.5,Sport,5.12b,1,50.0,38.05569000000001,-81.06276,17,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,B) Party Buttress,12.0,
Techman,https://www.mountainproject.com/route/107829337/techman,2.9,Sport,5.12c,1,70.0,38.05569000000001,-81.06276,14,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,B) Party Buttress,12.0,
Harbinger Scarab,https://www.mountainproject.com/route/107799731/harbinger-scarab,4.0,Sport,5.12c,1,90.0,38.05569000000001,-81.06276,4,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,B) Party Buttress,12.0,
Mental Wings,https://www.mountainproject.com/route/113729784/mental-wings,3.0,Sport,5.12c,1,90.0,38.05569000000001,-81.06276,3,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,B) Party Buttress,12.0,
Stealth and Magic,https://www.mountainproject.com/route/108826575/stealth-and-magic,3.3,Sport,5.12d,1,70.0,38.05569000000001,-81.06276,7,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,B) Party Buttress,12.0,
Plyometrics,https://www.mountainproject.com/route/115969242/plyometrics,3.0,Trad,5.12d,1,50.0,38.05569000000001,-81.06276,1,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,B) Party Buttress,12.0,
'Bout Time,https://www.mountainproject.com/route/110215767/bout-time,2.0,Sport,5.13a/b,1,40.0,38.05569000000001,-81.06276,1,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,B) Party Buttress,13.0,
The Sweetest Taboo,https://www.mountainproject.com/route/110215785/the-sweetest-taboo,3.0,Sport,5.13a/b,1,60.0,38.05569000000001,-81.06276,1,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,B) Party Buttress,13.0,
Hellbound for Glory,https://www.mountainproject.com/route/106882193/hellbound-for-glory,3.6,Sport,5.12a,1,80.0,38.0536,-81.05917,39,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,H) Hellbound Area,12.0,
Can't Find My Guernsey Cow,https://www.mountainproject.com/route/112864942/cant-find-my-guernsey-cow,3.0,Trad,5.12b,1,90.0,38.0536,-81.05917,1,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,H) Hellbound Area,12.0,
Maximum Leader,https://www.mountainproject.com/route/109476525/maximum-leader,4.0,Sport,5.12c,1,90.0,38.0536,-81.05917,1,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,H) Hellbound Area,12.0,
Pulling on Porcelain,https://www.mountainproject.com/route/107895141/pulling-on-porcelain,2.0,Sport,5.13a,1,100.0,38.0536,-81.05917,1,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,H) Hellbound Area,13.0,
Martini Face,https://www.mountainproject.com/route/111391073/martini-face,3.0,Sport,5.12c,1,90.0,38.05542,-81.05611,1,West Virginia,The New River Gorge,New River Gorge Proper,Endless Wall,K) Scream Seam Area,12.0,
